date,open,high,low,close,volume,Dividends,Stock Splits,Brand_Name,ticker,Industry_Tag,Country,Capital Gains
2025-01-06 05:00:00+00:00,193.97999572753903,198.22000122070312,193.8500061035156,196.8699951171875,29542800.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-07 05:00:00+00:00,197.1100006103516,201.0,194.6000061035156,195.4900054931641,26471700.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-08 05:00:00+00:00,192.57000732421875,196.2899932861328,192.3800048828125,193.9499969482422,24845200.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-08 05:00:00+00:00,192.5850067138672,196.2899932861328,192.3800048828125,193.9499969482422,24249066.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-10 05:00:00+00:00,194.3000030517578,196.5200042724609,190.3099975585937,192.0399932861328,26653900.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-10 05:00:00+00:00,194.1450042724609,196.509994506836,190.3099975585937,192.0399932861328,25712962.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-13 05:00:00+00:00,190.07000732421875,191.17999267578125,187.3600006103516,191.009994506836,21791200.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-14 05:00:00+00:00,191.2400054931641,191.97999572753903,188.3099975585937,189.6600036621093,17149800.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-15 05:00:00+00:00,193.08999633789065,196.3600006103516,191.8600006103516,195.5500030517578,21752900.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-16 05:00:00+00:00,194.13999938964844,195.47999572753903,192.8099975585937,192.9100036621093,17788800.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-17 05:00:00+00:00,196.5249938964844,197.22999572753903,193.75,196.0,27304090.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-17 05:00:00+00:00,196.52999877929688,197.22999572753903,193.75,196.0,27629800.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-21 05:00:00+00:00,199.07000732421875,202.2899932861328,197.8699951171875,198.0500030517578,29918200.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-22 05:00:00+00:00,199.0599975585937,200.47999572753903,197.52999877929688,198.3699951171875,26171600.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-23 05:00:00+00:00,198.13999938964844,200.3000030517578,195.1999969482422,197.97999572753903,26933000.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-24 05:00:00+00:00,198.1000061035156,200.8999938964844,198.0,200.2100067138672,23855800.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-24 05:00:00+00:00,198.1699981689453,200.8999938964844,198.0,200.2100067138672,23834187.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-27 05:00:00+00:00,192.4499969482422,196.8800048828125,190.72999572753903,191.8099975585937,41610976.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-28 05:00:00+00:00,192.75,195.47999572753903,190.67999267578125,195.3000030517578,24128800.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-29 05:00:00+00:00,195.5599975585937,196.7899932861328,193.42999267578125,195.4100036621093,18118300.0,0.0,0.0,google,GOOGL,technology,usa,
2025-01-30 05:00:00+00:00,198.0,201.3999938964844,197.6699981689453,200.8699951171875,23525041.0,0.0,0.0,google,GOOGL,technology,usa,
